31,take out chopping board from drawer
33,take out knife from drawer
28,take out bread from cupboard
32,take out jam from cupboard
34,take out peanut butter from cupboard
36,take out spoon from drawer
14,remove bread from package
1,cut bread slices
7,put bread into package
20,screw open jam
11,put jam on bread
24,spread jam on bread
17,screw close jam
36,take out spoon from drawer
21,screw open peanut butter
13,put peanut butter on bread
18,screw close peanut butter
12,put one bread piece on top of the other
-1,complete
35,take out plate from cupboard
29,take out butter case from fridge
28,take out bread from cupboard
33,take out knife from drawer
31,take out chopping board from drawer
14,remove bread from package
1,cut bread slices
8,put bread slices on plate
30,take out butter knife from drawer
16,remove lid from butter case
23,spread butter
22,screw open peanut spread
26,stir peanut spread
25,spread peanut spread on bread
19,screw close peanut spread
12,put one bread piece on top of the other
-1,complete
31,take out chopping board from drawer
33,take out knife from drawer
28,take out bread from cupboard
29,take out butter case from fridge
35,take out plate from cupboard
14,remove bread from package
1,cut bread slices
8,put bread slices on plate
27,take knife from drawer
15,remove cheese from package
2,cut cheese slices
6,pack cheese
30,take out butter knife from drawer
16,remove lid from butter case
37,take out tomato from fridge
38,wash tomato
33,take out knife from drawer
4,cut tomato apart
5,cut tomato slices
9,put butter on bread
23,spread butter
3,cut cheese stripes
10,put cheese on bread
12,put one bread piece on top of the other
-1,complete
