1,fill water into vessel from tap
31,turn on stove
3,keep vessel on stove
22,take out cup from cupboard
20,take out coffee mix from cupboard
23,take out grater from drawer
19,take out chopping board from drawer
18,take out chocolate bar from drawer
11,put grater on chopping board
14,rip open coffee mix
8,put coffee mix into mug
29,throw waste in garbage
2,grate chocolate bar
7,put chocolate bar in cupboard
27,take out spoon from drawer
32,wash spoon
30,turn off stove
5,pour hot water into cup
10,put grated chocolate in cup
15,stir
-1,complete
28,take out vessel from drawer
33,wash vessel
1,fill water into vessel from tap
3,keep vessel on stove
31,turn on stove
22,take out cup from cupboard
20,take out coffee mix from cupboard
14,rip open coffee mix
8,put coffee mix into mug
29,throw waste in garbage
27,take out spoon from drawer
5,pour hot water into cup
15,stir
-1,complete
28,take out vessel from drawer
1,fill water into vessel from tap
3,keep vessel on stove
31,turn on stove
21,take out coffee mix packs from cupboard
22,take out cup from cupboard
24,take out saucer from cupboard
25,take out scissors from drawer
26,take out spoon from cupboard
13,remove one pack from coffee mix pack
12,put remaining coffee packs in cupboard
14,rip open coffee mix
8,put coffee mix into mug
30,turn off stove
29,throw waste in garbage
6,pour hot water into vessel
9,put cup on saucer
15,stir
-1,complete
21,take out coffee mix packs from cupboard
13,remove one pack from coffee mix pack
28,take out vessel from drawer
1,fill water into vessel from tap
3,keep vessel on stove
31,turn on stove
22,take out cup from cupboard
24,take out saucer from cupboard
17,take out chocolate bar from cupboard
23,take out grater from drawer
2,grate chocolate bar
30,turn off stove
14,rip open coffee mix
8,put coffee mix into mug
6,pour hot water into vessel
27,take out spoon from drawer
15,stir
16,strew grated chocolate on mug
-1,complete
