,take out glass from cupboard
,take out orange packet from cupboard
,take out knife from drawer
,remove orange from package
,take out juicer from drawer
,take out plate from cupboard
,cut orange apart
,squeeze orange
,take out spoon from drawer
,squeeze orange
,pour juice into glass
,take out sweetener from cupboard
,throw waste in garbage
,screw open sweetener
,pour sweetener into glass
,screw close sweetener
,put sweetener in cupboard
-1,complete
,take out orange from cupboard
,take out lemon from cupboard
,take out juicer from drawer
,take out peeler from drawer
,wash orange
,peel orange
,take out chopping board from drawer
,take out knife from drawer
,wash orange
,peel orange
,wash lemon
,peel lemon
,remove lid from juicer
,wash juicer
,put lid on juicer
,cut orange apart
,squeeze orange
,take out glass from cupboard
,pour orange juice into glass
,cut lemon apart
,squeeze lemon
,pour juice into glass
,take out sweetener from cupboard
,screw open sweetener
,pour sweetener into glass
,screw close sweetener
,put sweetener in cupboard
-1,complete
,take out cup from cupboard
,take out orange from cupboard
,take out berry packet from cupboard
,remove lid from berry packet
,put berries in cup
,put lid on berry packet
,wash berries
,take out knife from drawer
,take out juicer from drawer
,cut orange apart
,squeeze orange
,remove lid from juicer
,throw waste in garbage
,put lid on juicer
,take out glass from drawer
,pour orange juice into cup
,put berries in cup
,take out blender from drawer
,pull plug out
,plug blender in
,blend mixture
,plug blender out
,take out glass from drawer
,pour juice into glass
-1,complete
,take out pear from cupboard
,take out berry packet from cupboard
,take out orange from cupboard
,take out chopping board from drawer
,take out juicer from drawer
,take out knife from drawer
,take out cup from drawer
,take out blender from drawer
,put orange on chopping board
,cut orange apart
,remove seeds from orange
,squeeze orange
,throw waste in garbage
,pour orange juice into cup
,remove tip from pear
,throw waste in garbage
,peel pear
,put pear on chopping board
,cut pear out inside 
,throw waste in garbage
,cut pear dice 
,remove lid from berry packet
,put berries in cup
,put pear in cup
,put lid on berry packet
,throw waste in garbage
,pull plug out
,plug blender in
,blend mixture
,pour juice into glass
-1,complete
,take out juicer from drawer
,take out cup from drawer
,take out chopping board from drawer
,take out orange from cupboard
,take out kiwi from cupboard
,take out knife from drawer
,cut orange apart
,squeeze orange
,peel kiwi
,wash kiwi
,wash knife
,cut kiwi apart
,take out blender from drawer
,pull plug out
,plug blender in
,put kiwi in cup
,blend kiwi
,take out pineapple tin from cupboard
,take out opener from drawer
,open pineapple tin
,put pineapple in cup
,blend pineapple
,pour orange juice into cup
,pour pineapple flavour into cup
,blend orange and pineapple
,take out lemon from fridge
,squeeze lemon
,pour lemon juice into cup
,blend mixture
,take out glass from cupboard
,pour juice into glass
-1,complete
