53,take out from cupboard,take out pear from cupboard
,,take out berry packet from cupboard
53,take out from cupboard,take out orange from cupboard
54,take out from drawer,take out chopping board from drawer
54,take out from drawer,take out juicer from drawer
54,take out from drawer,take out knife from drawer
54,take out from drawer,take out cup from drawer.
54,take out from drawer,take out blender from drawer.
31,put on cutting-board,put orange on cutting-board
2,cut apart,cut orange apart
52,take ingredient apart,remove seeds from orange
43,squeeze,squeeze orange
59,throw in garbage,throw waste in garbage
25,pour,pour juice into cup.
52,take ingredient apart,remove tip from pear
59,throw in garbage,throw waste in garbage
23,peel,peel pear
31,put on cutting-board,put pear on cutting board
6,cut out inside,cut pear out inside 
59,throw in garbage,throw waste in garbage
3,cut dice,cut dice pear
13,lid: remove,remove lid from berry packet
28,put in bowl,put berries in cup
,,put pear in cup
12,lid: put on,put on lid for berry packet
59,throw in garbage,throw waste in garbage
26,pull out,pull out the plug
24,plug in/out,plug in the blender
27,puree,blend mixture
62,wash objects,pour juice into glass
