53,take out from cupboard,take plate from cupboard
,,take bowl from cupboard
53,take out from cupboard,take orange from cupboard
53,take out from cupboard,take out berry packet from cupboard
13,lid: remove,remove lid from berry packet
28,put in bowl,put berries in bowl
12,lid: put on,put on lid for berry packet
62,wash objects,wash berries
54,take out from drawer,take out knife from drawer
54,take out from drawer,take out juicer from drawer.
2,cut apart,cut apart orange
43,squeeze,squeeze orange
13,lid: remove,remove lid from juicer
59,throw in garbage,throw waste in garbage
12,lid: put on,put lid on juicer
54,take out from drawer,take out glass from drawer
25,pour,pour juice into cup
28,put in bowl,put berries in cup
54,take out from drawer,take out blender from drawer
26,pull out,pull out the plug
24,plug in/out,plug in the blender
27,puree,blend mixture
24,plug in/out,plug out the blender
53,take out from cupboard,take out glass from drawer
25,pour,pour juice into glass
