32,take out bowl from drawer
41,take out potato from cupboard
45,take out vessel from drawer
40,take out plate from drawer
38,take out peeler from drawer
10,peel potato
18,put peeled potato in vessel
8,keep vessel on stove
33,take out butter case from fridge
37,take out milk bottle from fridge
22,remove lid from butter case
23,rip open the butter cover
43,take out spoon from drawer
13,put butter in vessel
17,put on lid to butter case
12,put butter case in fridge
27,screw milk bottle open
11,pour milk into vessel
26,screw milk bottle close
36,take out masher from drawer
42,take out salt from spice holder
29,screw open salt
1,add salt to vessel
25,screw close salt
19,put salt in spice holder
9,mash potato in vessel
15,put masher in bowl
31,stir
16,put milk bottle in fridge
40,take out plate from drawer
34,take out chopping board from drawer
47,turn off stove
44,take out tomato from fridge
49,wash tomato 
35,take out knife from drawer
4,cut off ends from tomato
7,cut tomato apart
47,turn off stove
14,put mashed potato on plate
30,spread
21,put tomato on plate
-1,complete
45,take out vessel from drawer
35,take out knife from drawer
41,take out potato from cupboard
40,take out plate from drawer
10,peel potato
46,throw waste in garbage
6,cut potato into slices
37,take out milk bottle from fridge
33,take out butter case from fridge
27,screw milk bottle open
11,pour milk into vessel
26,screw milk bottle close
22,remove lid from butter case
13,put butter in vessel
17,put on lid to butter case
8,keep vessel on stove
48,turn on stove
12,put butter case in fridge
39,take out pepper from spice holder
42,take out salt from spice holder
18,put peeled potato in vessel
29,screw open salt
1,add salt to vessel
25,screw close salt
28,screw open pepper
0,add pepper to vessel
24,screw close pepper
36,take out masher from drawer
43,take out spoon from drawer
31,stir
29,screw open salt
1,add salt to vessel
25,screw close salt
20,put spoon in bowl
9,mash potato in vessel
14,put mashed potato on plate
-1,complete
36,take out masher from drawer
45,take out vessel from drawer
34,take out chopping board from drawer
41,take out potato from cupboard
38,take out peeler from drawer
10,peel potato
18,put peeled potato in vessel
9,mash potato in vessel
33,take out butter case from fridge
35,take out knife from drawer
3,cut butter apart
13,put butter in vessel
42,take out salt from spice holder
29,screw open salt
1,add salt to vessel
25,screw close salt
19,put salt in spice holder
8,keep vessel on stove
48,turn on stove
9,mash potato in vessel
47,turn off stove
40,take out plate from drawer
9,mash potato in vessel
14,put mashed potato on plate
-1,complete
36,take out masher from drawer
45,take out vessel from drawer
34,take out chopping board from drawer
41,take out potato from cupboard
38,take out peeler from drawer
10,peel potato
18,put peeled potato in vessel
9,mash potato in vessel
33,take out butter case from fridge
35,take out knife from drawer
3,cut butter apart
13,put butter in vessel
12,put butter case in fridge
42,take out salt from spice holder
29,screw open salt
1,add salt to vessel
25,screw close salt
19,put salt in spice holder
8,keep vessel on stove
48,turn on stove
9,mash potato in vessel
47,turn off stove
40,take out plate from drawer
9,mash potato in vessel
14,put mashed potato on plate
-1,complete
41,take out potato from cupboard
32,take out bowl from drawer
36,take out masher from drawer
38,take out peeler from drawer
37,take out milk bottle from fridge
34,take out chopping board from drawer
10,peel potato
5,cut potato apart
27,screw milk bottle open
11,pour milk into vessel
9,mash potato in vessel
43,take out spoon from drawer
31,stir
42,take out salt from spice holder
39,take out pepper from spice holder
29,screw open salt
1,add salt to vessel
25,screw close salt
28,screw open pepper
0,add pepper to vessel
24,screw close pepper
14,put mashed potato on plate
-1,complete
