53,take out from cupboard,take out plate from cupboard
55,take out from fridge,take out butter from fridge
53,take out from cupboard,take out bread from cupboard
54,take out from drawer,take out knife from drawer
54,take out from drawer,take out chopping board from drawer
34,remove from package,remove bread from package
7,cut slices,cut bread slice
32,put on plate,put bread slices on plate
54,take out from drawer,take out butter knife from drawer
13,lid: remove,remove lid from butter case
42,spread,spread butter
38,screw open,screw open peanut spread
45,stir,stir peanut spread
42,spread,spread peanut spread on bread
37,screw close,screw close peanut spread
,,move bread piece on top of the other
