53,take out from cupboard,take out coffee mix pack from cupboard
34,remove from package,remove one pack from coffee mix pack
54,take out from drawer,take out vessel from drawer
10,fill water from tap,fill water into vessel from tap
15,move from X to Y,keep vessel on stove
1,change temperature,turn on stove
53,take out from cupboard,take out cup from cupboard
53,take out from cupboard,take out saucer from cupboard
53,take out from cupboard,take out chocolate bar from cupboard
54,take out from drawer,take out grater from drawer
11,grate,grate chocolate
1,change temperature,turn off stove
35,rip open,rip open coffee mix
15,move from X to Y,put coffee mix into mug
25,pour,pour hot water into vessel
54,take out from drawer,take out spoon from drawer
45,stir,stir
46,strew,strew grated chocolate on mug
