,take out bowl from drawer
,take out potato from cupboard
,take out vessel from drawer
,take out plate from drawer
,take out peeler from drawer
,peel potato
,put peeled potato in vessel
,keep vessel on stove
,take out butter case from fridge
,take out milk bottle from fridge
,remove lid from butter case
,rip open the butter cover
,take out spoon from drawer
,put butter in vessel
,put on lid to butter case
,put butter case in fridge
,screw milk bottle open
,pour milk into vessel
,screw milk bottle close
,take out masher from drawer
,take out salt from spice holder
,screw open salt
,add salt to vessel
,screw close salt
,put salt in spice holder
,mash potato in vessel
,put masher in bowl
,stir
,put milk bottle in fridge
,take out plate from drawer
,take out chopping board from drawer
,turn off stove
,take out tomato from fridge
,wash tomato 
,take out knife from drawer
,cut off ends from tomato
,cut tomato apart
,turn off stove
,put mashed potato on plate
,spread
,put tomato on plate
-1,complete
,take out vessel from drawer
,take out knife from drawer
,take out potato from cupboard
,take out plate from drawer
,peel potato
,throw waste in garbage
,cut potato into slices
,take out milk bottle from fridge
,take out butter case from fridge
,screw milk bottle open
,pour milk into vessel
,screw milk bottle close
,remove lid from butter case
,put butter in vessel
,put on lid to butter case
,keep vessel on stove
,turn on stove
,put butter case in fridge
,take out pepper from spice holder
,take out salt from spice holder
,put peeled potato in vessel
,screw open salt
,add salt to vessel
,screw close salt
,screw open pepper
,add pepper to vessel
,screw close pepper
,take out masher from drawer
,take out spoon from drawer
,stir
,screw open salt
,add salt to vessel
,screw close salt
,put spoon in bowl
,mash potato in vessel
,put mashed potato on plate
-1,complete
,take out masher from drawer
,take out vessel from drawer
,take out chopping board from drawer
,take out potato from cupboard
,take out peeler from drawer
,peel potato
,put peeled potato in vessel
,mash potato in vessel
,take out butter case from fridge
,take out knife from drawer
,cut butter apart
,put butter in vessel
,take out salt from spice holder
,screw open salt
,add salt to vessel
,screw close salt
,put salt in spice holder
,keep vessel on stove
,turn on stove
,mash potato in vessel
,turn off stove
,take out plate from drawer
,mash potato in vessel
,put mashed potato on plate
-1,complete
,take out masher from drawer
,take out vessel from drawer
,take out chopping board from drawer
,take out potato from cupboard
,take out peeler from drawer
,peel potato
,put peeled potato in vessel
,mash potato in vessel
,take out butter case from fridge
,take out knife from drawer
,cut butter apart
,put butter in vessel
,put butter case in fridge
,take out salt from spice holder
,screw open salt
,add salt to vessel
,screw close salt
,put salt in spice holder
,keep vessel on stove
,turn on stove
,mash potato in vessel
,turn off stove
,take out plate from drawer
,mash potato in vessel
,put mashed potato on plate
-1,complete
,take out potato from cupboard
,take out bowl from drawer
,take out masher from drawer
,take out peeler from drawer
,take out milk bottle from fridge
,take out chopping board from drawer
,peel potato
,cut potato apart
,screw milk bottle open
,pour milk into vessel
,mash potato in vessel
,take out spoon from drawer
,stir
,take out salt from spice holder
,take out pepper from spice holder
,screw open salt
,add salt to vessel
,screw close salt
,screw open pepper
,add pepper to vessel
,screw close pepper
,put mashed potato on plate
-1,complete
