53,take out from cupboard,take out potato from cupboard
54,take out from drawer,take out bowl from drawer
54,take out from drawer,take out masher from drawer
54,take out from drawer,take out peeler from drawer
55,take out from fridge,take out milk from fridge
54,take out from drawer,take out chopping board from drawer
23,peel,peel potato
2,cut apart,cut potato apart
38,screw open,screw milk bottle open
25,pour,pour milk into vessel
44,stamp,mash potato in vessel
54,take out from drawer,take out spoon from drawer
45,stir,stir
57,take out from spice holder,take out salt from spice holder
57,take out from spice holder,take out pepper from spice holder
38,screw open,screw salt open
41,spice,add salt to vessel
37,screw close,screw salt close
38,screw open,screw pepper open
41,spice,add pepper to vessel
37,screw close,screw pepper close
